Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
80	46	0	0.873987304	-0.0197638017	-0.0199699967	-0.0211756421	-0.019142216	0.00203342605	0	0	0	0	0	3
81	47	0	0.884912146	-0.0193326291	-0.0199343367	-0.0211756421	-0.019142216	0.00203342605	0	0	0	0	0	3
82	47	0	0.895836987	-0.019345361	-0.0198962451	-0.0211756421	-0.019142216	0.00203342605	0	0	0	0	0	3
83	48	0	0.906761828	-0.0196914176	-0.0198639793	-0.0211156647	-0.019142216	0.00197344865	0	0	0	0	0	3
84	49	0	0.91768667	-0.0202581911	-0.0198453386	-0.0207032005	-0.019142216	0.00156098442	0	0	0	0	0	3
85	49	0	0.928611511	-0.0207884606	-0.0198471921	-0.0207884606	-0.019142216	0.00164624452	0	0	0	0	0	3
86	50	0	0.939536352	-0.0206917453	-0.0198551444	-0.0207884606	-0.019142216	0.00164624452	0	0	0	0	0	3
87	50	0	0.950461193	-0.0203099705	-0.0198674613	-0.0207884606	-0.019142216	0.00164624452	0	0	0	0	0	3
88	51	0	0.961386035	-0.0197304746	-0.0198754257	-0.0207884606	-0.019142216	0.00164624452	0	0	0	0	0	3
89	52	0	0.972310876	-0.0192821314	-0.0198784674	-0.0207884606	-0.0191671329	0.00162132762	0	0	0	0	0	3
90	52	0	0.983235717	-0.0193059488	-0.0198766932	-0.0207884606	-0.0191671329	0.00162132762	0	0	0	0	0	3
91	53	0	0.994160559	-0.0196800782	-0.019873993	-0.0207884606	-0.0191671329	0.00162132762	0	0	0	0	0	3
92	53	0	1.0050854	-0.0202313998	-0.0198754017	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
93	54	0	1.01601024	-0.0207538717	-0.0198871022	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
94	55	0	1.02693508	-0.0206737222	-0.0198949194	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
95	55	0	1.03785992	-0.0203235651	-0.0198989599	-0.0207884606	-0.0191671329	0.00162132762	0.0022868919	0	100	0	0	3
