Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
115	68	0	1.25635675	0.029754705	0.0304127164	0.0289451945	0.0317491932	0.00133718778	0.000761193948	0	56.9	0	0	3
116	68	0	1.26728159	0.0293755105	0.0303794187	0.0289451945	0.0317491932	0.00116666861	0.000761193948	0	65.2	0	0	3
117	69	0	1.27820643	0.0297711703	0.0303402622	0.0289451945	0.0317491932	0.00113365279	0.000761193948	0	67.1	0	0	3
118	70	0	1.28913127	0.030505277	0.0303132206	0.0289451945	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
119	70	0	1.30005612	0.0311017163	0.0303095804	0.0289451945	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
120	71	0	1.31098096	0.0310599137	0.030323739	0.0289451945	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
121	71	0	1.3219058	0.030696005	0.0303509111	0.0289451945	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
122	72	0	1.33283064	0.0300832885	0.0303756523	0.0289980729	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
123	73	0	1.34375548	0.0291914539	0.0303728012	0.0289980729	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
124	73	0	1.35468032	0.0287443297	0.0303379012	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
125	74	0	1.36560516	0.029107127	0.0302947537	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
126	75	0	1.37653	0.030144745	0.0302664979	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
127	75	0	1.38745485	0.030975973	0.0302623068	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
128	76	0	1.39837969	0.0311620851	0.0302753497	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
129	77	0	1.40930453	0.0306112205	0.030299034	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
130	77	0	1.42022937	0.0299584707	0.0303161151	0.0287443297	0.0315978238	0.00113365279	0.000761193948	0	67.1	0	0	3
131	78	0	1.43115421	0.0292258013	0.0303067919	0.0287443297	0.0315978238	0.00113068622	0.000761193948	0	67.3	0	0	3
132	78	0	1.44207905	0.0289415526	0.03026782	0.0287443297	0.0315978238	0.00110755154	0.000761193948	0	68.7	0	0	3
133	79	0	1.45300389	0.0295108192	0.0302311148	0.0287443297	0.0315978238	0.00105342162	0.000761193948	0	72.2	0	0	3
134	80	0	1.46392873	0.0305751829	0.0302144895	0.0287443297	0.0315978238	0.000999027003	0.000761193948	0	76.1	0	0	3
135	80	0	1.47485358	0.0311585734	0.0302189231	0.0287443297	0.0315978238	0.000943393751	0.000761193948	0	80.6	0	0	3
136	81	0	1.48577842	0.0312112308	0.0302350914	0.0287443297	0.0315978238	0.000916867949	0.000761193948	0	83	0	0	3
137	81	0	1.49670326	0.0307182632	0.030260566	0.0287443297	0.0315978238	0.000895700389	0.000761193948	0	84.9	0	0	3
138	82	0	1.5076281	0.0297842425	0.0302747466	0.0287443297	0.0315978238	0.00087902603	0.000761193948	0	86.5	0	0	3
139	83	0	1.51855294	0.0287788396	0.030260267	0.0287443297	0.0315978238	0.000835911942	0.000761193948	0	91	0	0	3
140	83	0	1.52947778	0.0283920711	0.030214457	0.0283920711	0.0315978238	0.000779595536	0.000761193948	0	97.6	0	0	3
141	84	0	1.54040262	0.0288253556	0.030161642	0.0283920711	0.0315978238	0.000705106521	0.000761193948	0	100	0	0	3
