Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
88	51	0	0.961386035	101325.006	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
89	52	0	0.972310876	101325.006	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
90	52	0	0.983235717	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
91	53	0	0.994160559	101325.007	101325.007	101325.006	101325.008	0.00162890949	0	0	0	0	0	3
92	53	0	1.0050854	101325.007	101325.007	101325.006	101325.008	0.00146713413	0.00101325007	0	0	0	0	3
93	54	0	1.01601024	101325.007	101325.007	101325.006	101325.008	0.00146713413	0.00101325007	0	0	0	0	3
94	55	0	1.02693508	101325.007	101325.007	101325.006	101325.008	0.00146713413	0.00101325007	0	0	0	0	3
95	55	0	1.03785992	101325.006	101325.007	101325.006	101325.008	0.00146713413	0.00101325006	0	0	0	0	3
96	56	0	1.04878477	101325.006	101325.007	101325.006	101325.008	0.00146713413	0.00101325006	0	0	0	0	3
97	56	0	1.05970961	101325.007	101325.007	101325.006	101325.008	0.00146713413	0.00101325007	0	0	0	0	3
98	57	0	1.07063445	101325.007	101325.007	101325.006	101325.008	0.0014145634	0.00101325007	0	0	0	0	3
99	57	0	1.08155929	101325.007	101325.007	101325.006	101325.008	0.00139258834	0.00101325007	0	0	0	0	3
100	58	0	1.09248413	101325.008	101325.007	101325.006	101325.008	0.00117405858	0.00101325008	0	0	0	0	3
101	59	0	1.10340897	101325.007	101325.007	101325.006	101325.008	0.00117054716	0.00101325007	0	0	0	0	3
102	60	0	1.11433381	101325.007	101325.007	101325.006	101325.008	0.000977766394	0.00101325007	0	0	0	0	3
103	61	0	1.12525865	101325.006	101325.007	101325.006	101325.008	0.000940576661	0.00101325006	0	0	0	0	3
104	61	0	1.1361835	101325.006	101325.007	101325.006	101325.008	0.000778121728	0.00101325006	0	0	0	0	3
105	62	0	1.14710834	101325.007	101325.007	101325.006	101325.008	0.00073359524	0.00101325007	0	0	0	0	3
106	62	0	1.15803318	101325.007	101325.007	101325.006	101325.008	0.000625717876	0.00101325007	0	0	0	0	3
107	63	0	1.16895802	101325.008	101325.007	101325.006	101325.008	0.000596715981	0.00101325008	0	0	0	0	3
108	63	0	1.17988286	101325.008	101325.007	101325.006	101325.008	0.000547034564	0.00101325008	0	0	0	0	3
109	64	0	1.1908077	101325.007	101325.007	101325.006	101325.008	0.000519857233	0.00101325007	0	0	0	0	3
110	65	0	1.20173254	101325.007	101325.007	101325.006	101325.008	0.000467013539	0.00101325007	0	0	0	0	3
